number,name,address,phone,gos_reestr_code,website,IIN,BIN,gosreestr_link,statsnet_link,city,system_score,Good,Bad,user_score
TK-0117,"HOLIDAY QAZAQSTAN
","Актобе Абылхаир хана 69-39
","8 (776) 744-66-44
","KZ33UWG00000115
","http://
",,,,https://statsnet.co/search/kz/HOLIDAY%20QAZAQSTAN,Актобе,77,,,1.84
TK-0118,Euro Asien Express-A,Астана переулок Баглан 5,8 (717) 232-00-06,ТА-1695 от 02.09.2013 года,http://www.eae.kz,,,,https://statsnet.co/search/kz/Euro%20Asien%20Express-A,Астана,77,,,3.77
TK-0119,Europe Asia Travel,"Алматы Проспект Достык, 95Б​",+7 (727) 347‒00‒01,KZ76UWG00001572,http://www.eatravel.kz,,,,https://statsnet.co/search/kz/Europe%20Asia%20Travel,Алматы,77,,,3.47
TK-0121,Бархатный сезон,"Астана ул. Агыбай батыра, 4",7 (717) 291-86-00,ТА-192 от 10.09.2015 г.,http://www.barhatseason.kz,,,,https://statsnet.co/search/kz/Бархатный%20сезон,Астана,77,,,1.86
TK-0122,ТУРАГЕНТСТВО «LE MONDE TRAVEL»»,"Астана Ул. ДОСТЫК, Д.1",8 (777) 777-01-17,KZ84UWG00000458,,,,,https://statsnet.co/search/kz/ТУРАГЕНТСТВО%20«LE%20MONDE%20TRAVEL»»,Астана,67,,,2.2
TK-0124,Поларис Трэвел,"Алматы ул. Чайковского 206, оф. 19",7 (727) 399-83-69,KZ89UWG00001338,http://www.polaristravel.kz,,,,https://statsnet.co/search/kz/Поларис%20Трэвел,Алматы,77,,,3.73
TK-0125,Happy Travel.kz,Алматы Мамыр 2 дом 16 оф 29 ,7 (775) 167-80-08,KZ08UWG00001826,http://happy-travel.kz,,,,https://statsnet.co/search/kz/Happy%20Travel.kz,Алматы,77,,,1.67
TK-0126,BANZAI TOUR,"Алматы ул.Жамбыла,114/85 корп.",7 (727) 378-10-08,ТА-107 ОТ 24.04.2015,http://banzaitravel.kz,,,,https://statsnet.co/search/kz/BANZAI%20TOUR,Алматы,77,,,3.74
TK-0127,Ел Тур,"Астана ул.Амман 8,БЦ Милано,411 кабинет",7 (702) 222-02-14,KZ45UWG00000384,http://www.eltour.kz,,,,https://statsnet.co/search/kz/Ел%20Тур,Астана,77,1.0,,2.75
TK-0128,HT.KZ Almaty,"Алматы микрорайон Самал -3,12,офис 1",8 (727) 338-49-49,ТА-245 от 11.04.2016 г,http://www.ht.kz,,,,https://statsnet.co/search/kz/HT.KZ%20Almaty,Алматы,77,,,3.62
TK-0129,HT Tourism Almaty,"Алматы ул. Богенбай батыра, дом 81/36, нежилое помещение 54",8 (727) 338-49-49,KZ58UWG00000344,http://www.ht.kz,,,,https://statsnet.co/search/kz/HT%20Tourism%20Almaty,Алматы,77,,,2.52
TK-0130,HT Tourism Kazakhstan,"Алматы пр. Назарбаева, дом 130, кв. 2",8 (727) 338-49-49,ТА-444,http://www.ht.kz,,,,https://statsnet.co/search/kz/HT%20Tourism%20Kazakhstan,Алматы,77,,,4.37
TK-0132,HT.KZ 5,"Алматы ул.Байтурсынова 20,1 этаж",8 (727) 338-49-49,KZ73UWG00000559,http://www.ht.kz,,,,https://statsnet.co/search/kz/HT.KZ%205,Алматы,77,,,2.53
TK-0133,Поедем Алматы,Алматы пр. Достык 42/1,8 (727) 345-33-33,ТА-240,http://www.poedem.kz,,,,https://statsnet.co/search/kz/Поедем%20Алматы,Алматы,77,,,3.56
TK-0134,Поедем Казахстан,Алматы пр. Достык 42/1,8 (727) 345-33-33,ТА-438,http://www.poedem.kz,,,,https://statsnet.co/search/kz/Поедем%20Казахстан,Алматы,77,,,2.62
TK-0135,Poedem travel Kazakhstan,Алматы пр. Достык 42/1,8 (727) 345-33-33,KZ13UWG00000475,http://www.poedem.kz,,,,https://statsnet.co/search/kz/Poedem%20travel%20Kazakhstan,Алматы,77,,,2.58
TK-0136,"HT.KZ Shymkent
","Шымкент ул. Орынбаева 37, офис 2
","8 (725) 292-18-18
","KZ49UWG00000215
","http://www.ht.kz
",,,,https://statsnet.co/search/kz/HT.KZ%20Shymkent,Шымкент,77,,,4.07
TK-0137,HT.KZ Karaganda,"Караганда пр. Бухар Жырау, зд. 52. Офис 2",8 (721) 298-10-08,KZ38UWG00000219,http://www.ht.kz,,,,https://statsnet.co/search/kz/HT.KZ%20Karaganda,Караганда,77,,,3.49
TK-0138,Поедем Актобе,"Актобе микрорайон Батыс 2,3г",8 (713) 274-40-00,KZ22UWG00000216,http://www.poedem.kz,,,,https://statsnet.co/search/kz/Поедем%20Актобе,Актобе,77,,,4.12
TK-0139,Gotour,"Алматы пр. Назарбаева 193, н.п.66",7 (747) 094-50-68,KZ08UWG00000565,http://www.gotur.kz,,,,https://statsnet.co/search/kz/Gotour,Алматы,77,,,2.75
TK-0141,Турагентство HT.KZ,"Астана ул. Толе би,48/1",8 (717) 257-58-59,ТА-423,http://www.ht.kz,,,,https://statsnet.co/search/kz/Турагентство%20HT.KZ,Астана,77,,,3.65
TK-0142,Ht.kz Astana,"Астана ул.Мангилик ел 49, блок А",8 (717) 257-58-59,ТА-418,http://www.ht.kz,,,,https://statsnet.co/search/kz/Ht.kz%20Astana,Астана,77,,,2.55
TK-0144,НТ Travel Astana,"Астана ул.Мангилик ел 49, блок А",8 (717) 257-58-59,KZ29UWG00000187,http://www.ht.kz,,,,https://statsnet.co/search/kz/НТ%20Travel%20Astana,Астана,77,,,2.21
TK-0145,Ht.kz travel company,Астана пр. Рақымжан Қошқарбаев 10 н.п24,8 (717) 257-58-59,KZ45UWG00000481,http://www.ht.kz,,,,https://statsnet.co/search/kz/Ht.kz%20travel%20company,Астана,77,,,1.73
TK-0146,Астана Туризм,"Астана ул.Мангилик ел 49, блок А",8 (717) 257-58-59,KZ21UWG00000525,http://www.ht.kz,,,,https://statsnet.co/search/kz/Астана%20Туризм,Астана,77,,,3.21
TK-0147,POEDEM.KZ,"Астана ул. Сыганак, 14, ВП-13",8 (717) 269-52-49,ТА-068,http://www.poedem.kz,,,,https://statsnet.co/search/kz/POEDEM.KZ,Астана,77,,,4.36
TK-0148,Поедем Астана,"Астана ул. Сыганак, 14, ВП-13",8 (717) 269-52-49,ТА-437,http://www.poedem.kz,,,,https://statsnet.co/search/kz/Поедем%20Астана,Астана,77,,,3.33
TK-0149,POEDEM.KZ ASTANA,"Астана ул. Сыганак, 14, ВП-13",8 (717) 269-52-49,KZ76UWG00000602,http://www.poedem.kz,,,,https://statsnet.co/search/kz/POEDEM.KZ%20ASTANA,Астана,77,,,1.56
TK-0151,HOTTEY TRAVEL,Алматы пр. Абая 21,7 (701) 524-24-96,ТА-1241,http://www.hotteytravel.kz,,,,https://statsnet.co/search/kz/HOTTEY%20TRAVEL,Алматы,77,,,2.61
TK-0156,#traveler,Караганда пр Металлургов 26,7 (702) 779-00-62,ТА-1706,https://itraveler.kz/,,210240029652,https://www.goszakup.gov.kz/ru/registry/show_supplier/470464,https://statsnet.co/search/kz/#traveler,Караганда,100,,,2.66
TK-0158,Авиатурагентство Премьер,Астана пр.Победы 20,7 (701) 526-44-49,ТА № 085 от 15.02.2002,http://www.premiertravel.kz,,,,https://statsnet.co/search/kz/Авиатурагентство%20Премьер,Астана,77,,,2.29
TK-0159,ВИЗА-ИН-ТУР,Усть-Каменогорск ул.КАЗАХСТАН 65 ,7 (705) 520-31-13,"KZ55UWG00001659,  ТА № 0029523",http://vizatur.kz,,,,https://statsnet.co/search/kz/ВИЗА-ИН-ТУР,Усть-Каменогорск,77,,,4.1
TK-0160,VIP TOUR Company,Актобе Бр.Жубановых 278А 8 каб,7 (701) 747-35-67,ТА-0011564 от 19.11.2008,,,081040008458,https://www.goszakup.gov.kz/ru/registry/show_supplier/166833,https://statsnet.co/search/kz/VIP%20TOUR%20Company,Актобе,90,,,4.04
TK-0161,Нур Тур (NUR -TOUR),Астана пр. Женис 8,7 (775) 143-15-08,KZ36UWG00000158,http://nurtour,,,,https://statsnet.co/search/kz/Нур%20Тур%20(NUR%20-TOUR),Астана,77,,,1.73
TK-0162,«Travel Bank»,"Алматы ул. Толе би 110, оф 79",7 (727) 222-30-30,ТА-1595 от 17.06.2013г,http://travelbank.kz,,,,https://statsnet.co/search/kz/«Travel%20Bank»,Алматы,77,,,2.28
TK-0163,Servet travel,"Астана улица Тараса Шевченко,4/1 офис 346",7 (717) 277-91-93,KZ40UWG00001056,,,190340006650,https://www.goszakup.gov.kz/ru/registry/show_supplier/388025,https://statsnet.co/search/kz/Servet%20travel,Астана,90,,,2.89
TK-0164,Первая Туристическая Компания,"Алматы ЖК Шанырак​Улица Наурызбай батыра, 99/1​12 офис; 3 этаж​",8 (727) 327-87-11,KZ45UWG00000190,http://www.1tk.kz,,,,https://statsnet.co/search/kz/Первая%20Туристическая%20Компания,Алматы,77,,,4.06
TK-0165,Satti.kz,"Астана ул.Достык 4, н.п.32",7 (777) 299-10-15,ТА-448 от 13.10.2017 г.,http://www.sattitravel.kz,,170940032053,https://www.goszakup.gov.kz/ru/registry/show_supplier/651159,https://statsnet.co/search/kz/Satti.kz,Астана,100,,,3.81
